imo_number,mmsi,name,ship_type,length,width,max_draught,type_name,type_remark
9660451,258984000,REMOY               ,30,20,54,8.0,Fishing,NaN
9923748,210144000,STENA PROMISE       ,80,149,37,10.9,Tanker,All ships of this type
9818084,232026551,SPIRIT OF ADVENTURE,0,31,205,7.3,Not available (default),NaN
5046281,211711370,BLEICHEN,79,37,56,4.4,Cargo,No additional information
20180647,232025724,AMETHYST            ,30,14,6,4.8,Fishing,NaN
9361342,304491000,NORMAN,79,78,11,3.6,Cargo,No additional information
529993346,2442024,BREAKTHROUGH,37,39,80,5.0,Pleasure Craft,NaN
9731705,405000345,MEGHNA DREAM        ,70,171,29,12.9,Cargo,All ships of this type
9323405,538002779,AINAZI              ,89,164,31,10.5,Tanker,No additional information
5254448,246187000,LUNA AZUL           ,60,20,12,3.5,Passenger,All ships of this type
9732448,352834000,BUNUN JUSTICE       ,70,153,26,7.9,Cargo,All ships of this type
9732204,244150488,KASTEELBORG,99,12,72,5.4,Other Type,No additional information
9811581,538007326,TOPAZ DON,70,16,107,3.0,Cargo,All ships of this type
9361122,257561000,FRI BERGEN          ,70,87,13,6.0,Cargo,All ships of this type
9834997,244020808,LADY HARRIET        ,70,77,21,5.4,Cargo,All ships of this type
9863558,311000971,ALTERA WAVE         ,80,190,55,8.9,Tanker,All ships of this type
9867607,563090600,MTM VANCOUVER       ,80,124,25,8.4,Tanker,All ships of this type
9829772,229424000,NQ FREESIA          ,82,98,22,7.5,Tanker,Hazardous category B
9361354,244234000,BORNHOLM,70,76,14,3.8,Cargo,All ships of this type
5139234,257273000,SVERDRUPSON,90,20,19,3.5,Other Type,All ships of this type
5335450,219027310,NORTHERN KAROLINE   ,70,32,20,4.5,Cargo,All ships of this type
5344592,244596000,MARE FRISIUM        ,36,50,0,2.8,Sailing,NaN
9088847,259166000,ELISABETH           ,30,41,20,6.0,Fishing,NaN
9252199,352001801,XIN SHUN            ,70,194,31,7.1,Cargo,All ships of this type
8957716,246432000,DCS VERIFIER        ,40,13,8,1.8,High speed craft (HSC),All ships of this type
702864,235065329,MALAGO              ,33,30,5,14.0,Dredging or underwater ops,NaN
9067441,235081274,JEAN T,52,0,0,2.2,Tug,NaN
9319686,352003031,HU PO               ,80,203,42,9.0,Tanker,All ships of this type
9996903,245918000,AMADEUS SAFFIER     ,70,77,11,5.1,Cargo,All ships of this type
9830032,211815690,BAD DUEBEN,55,35,52,4.3,Law Enforcement,NaN
8590582,228189000,F/V BIENVENUE       ,30,9,7,0.0,Fishing,NaN
904264,235082707,HANDFAST            ,52,0,0,2.4,Tug,NaN
9264116,212651000,ELISABETH J,80,85,21,6.4,Tanker,All ships of this type
9419761,257236000,ISLAND CHIEFTAIN    ,70,17,77,6.2,Cargo,All ships of this type
9267560,259027440,SUULA,89,111,29,6.3,Tanker,No additional information
9733387,219669000,ESVAGT CHASTINE,51,18,28,4.4,Search and Rescue vessel,NaN
9924285,563185400,ARMADA 78 05,90,29,49,5.8,Other Type,All ships of this type
9418030,259305000,SKANDI MERCURY      ,70,30,62,7.0,Cargo,All ships of this type
9472529,257998000,BODIL KNUTSEN,89,236,49,12.6,Tanker,No additional information
9655315,253366000,VOLE AU VENT,90,25,115,7.3,Other Type,All ships of this type
9987079,314826000,WILSON WEDAU,70,78,10,3.1,Cargo,All ships of this type
9392315,636019277,KRITI ROCK          ,80,149,30,7.5,Tanker,All ships of this type
9288368,636023192,ANNA MARIA P        ,89,145,38,7.5,Tanker,No additional information
9247118,258761000,NORVIND,70,85,17,6.5,Cargo,All ships of this type
9924273,563176100,ARMADA 78 04,99,29,49,5.9,Other Type,No additional information
9299721,668116311,LEONA               ,80,204,40,8.4,Tanker,All ships of this type
9312406,249502000,NQ TULIPA,82,92,23,7.6,Tanker,Hazardous category B
9574303,210529000,FIONA B             ,70,76,13,5.2,Cargo,All ships of this type
6721151,375219000,LOLA1,99,41,14,3.5,Other Type,No additional information
9568079,244150302,UK642 BERENDINA     ,30,8,15,0.0,Fishing,NaN
935031700,636018593,MSC HERMES          ,70,195,16,11.2,Cargo,All ships of this type
9403396,636020198,MSC CANCUN          ,72,191,68,12.4,Cargo,Hazardous category B
6715344,257072700,SAMBA,79,10,20,3.0,Cargo,No additional information
9831024,255915649,SONGA ORION         ,89,115,25,8.3,Tanker,No additional information
9657624,319058100,NS ELIDA            ,90,21,76,6.4,Other Type,All ships of this type
9638795,244830098,ARKLOW BEACON,79,105,15,7.1,Cargo,No additional information
9658094,246872000,EEMS DUISBURG,70,14,94,5.2,Cargo,All ships of this type
9161302,235599000,TRITON FPSO,80,213,31,14.0,Tanker,All ships of this type
9681699,311000247,SEAPEAK OAK,0,231,64,9.4,Not available (default),NaN
